DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
1993-01-15,      27.558,
1993-02-15,      18.688,
1993-03-15,      15.029,
1993-04-15,      14.781,
1993-05-15,      17.621,
1993-06-15,      23.335,
1993-07-15,      29.872,
1993-08-15,      25.828,
1993-09-15,      22.525,
1993-10-15,      23.163,
1993-11-15,      24.678,
1993-12-15,      25.956,
1994-01-15,      23.954,
1994-02-15,      18.601,
1994-03-15,      14.943,
1994-04-15,      15.259,
1994-05-15,      18.891,
1994-06-15,      26.814,
1994-07-15,      30.863,
1994-08-15,      33.881,
1994-09-15,      30.763,
1994-10-15,      25.165,
1994-11-15,      26.831,
1994-12-15,      31.004,
1995-01-15,      33.476,
1995-02-15,      19.173,
1995-03-15,      17.072,
1995-04-15,      14.769,
1995-05-15,      20.651,
1995-06-15,      24.910,
1995-07-15,      28.279,
1995-08-15,      26.142,
1995-09-15,      22.270,
1995-10-15,      22.555,
1995-11-15,      24.647,
1995-12-15,      25.526,
1996-01-15,      25.695,
1996-02-15,      21.021,
1996-03-15,      14.690,
1996-04-15,      13.923,
1996-05-15,      19.794,
1996-06-15,      26.781,
1996-07-15,      31.228,
1996-08-15,      27.665,
1996-09-15,      25.835,
1996-10-15,      24.521,
1996-11-15,      23.440,
1996-12-15,      29.982,
1997-01-15,      31.462,
1997-02-15,      23.275,
1997-03-15,      15.458,
1997-04-15,      16.032,
1997-05-15,      20.604,
1997-06-15,      27.168,
1997-07-15,      37.496,
1997-08-15,      31.079,
1997-09-15,      33.292,
1997-10-15,      32.894,
1997-11-15,      36.583,
1997-12-15,      34.814,
1998-01-15,      24.695,
1998-02-15,      22.739,
1998-03-15,      18.180,
1998-04-15,      17.955,
1998-05-15,      14.722,
1998-06-15,      18.462,
1998-07-15,      18.400,
1998-08-15,      19.000,
1998-09-15,      17.807,
1998-10-15,      17.934,
1998-11-15,      17.993,
1998-12-15,      20.538,
1999-01-15,      17.921,
1999-02-15,      14.723,
1999-03-15,      14.232,
1999-04-15,      14.229,
1999-05-15,      17.374,
