DATE-YMD,OTHR= OSCAR surface currents u-EW-component (m/s),
1993-01-15,      -0.170,
1993-02-15,      -0.208,
1993-03-15,      -0.034,
1993-04-15,       0.057,
1993-05-15,       0.005,
1993-06-15,      -0.069,
1993-07-15,      -0.328,
1993-08-15,      -0.133,
1993-09-15,      -0.120,
1993-10-15,      -0.125,
1993-11-15,      -0.113,
1993-12-15,      -0.350,
1994-01-15,      -0.335,
1994-02-15,      -0.309,
1994-03-15,      -0.061,
1994-04-15,       0.068,
1994-05-15,       0.125,
1994-06-15,      -0.050,
1994-07-15,      -0.040,
1994-08-15,      -0.176,
1994-09-15,       0.039,
1994-10-15,       0.070,
1994-11-15,       0.086,
1994-12-15,      -0.168,
1995-01-15,      -0.284,
1995-02-15,      -0.342,
1995-03-15,      -0.366,
1995-04-15,      -0.110,
1995-05-15,      -0.027,
1995-06-15,      -0.118,
1995-07-15,      -0.275,
1995-08-15,      -0.288,
1995-09-15,      -0.304,
1995-10-15,      -0.190,
1995-11-15,      -0.181,
1995-12-15,      -0.033,
1996-01-15,      -0.144,
1996-02-15,      -0.232,
1996-03-15,      -0.060,
1996-04-15,      -0.009,
1996-05-15,       0.087,
1996-06-15,       0.004,
1996-07-15,      -0.330,
1996-08-15,      -0.246,
1996-09-15,      -0.296,
1996-10-15,      -0.298,
1996-11-15,      -0.151,
1996-12-15,      -0.190,
1997-01-15,      -0.015,
1997-02-15,      -0.169,
1997-03-15,       0.151,
1997-04-15,       0.287,
1997-05-15,       0.269,
1997-06-15,       0.539,
1997-07-15,      -0.008,
1997-08-15,       0.133,
1997-09-15,       0.339,
1997-10-15,       0.513,
1997-11-15,       0.448,
1997-12-15,      -0.002,
1998-01-15,      -0.239,
1998-02-15,      -0.461,
1998-03-15,      -0.285,
1998-04-15,      -0.130,
1998-05-15,      -0.225,
1998-06-15,      -0.152,
1998-07-15,      -0.259,
1998-08-15,      -0.306,
1998-09-15,      -0.242,
1998-10-15,      -0.339,
1998-11-15,      -0.321,
1998-12-15,      -0.208,
1999-01-15,      -0.255,
1999-02-15,      -0.208,
1999-03-15,      -0.010,
1999-04-15,       0.122,
1999-05-15,       0.161,
1999-06-15,       0.113,
1999-07-15,      -0.323,
1999-08-15,      -0.244,
1999-09-15,      -0.150,
1999-10-15,      -0.309,
1999-11-15,      -0.292,
1999-12-15,      -0.174,
2000-01-15,      -0.237,
2000-02-15,      -0.113,
2000-03-15,       0.002,
2000-04-15,       0.182,
2000-05-15,       0.260,
2000-06-15,       0.056,
2000-07-15,      -0.019,
2000-08-15,      -0.273,
2000-09-15,      -0.121,
2000-10-15,      -0.319,
2000-11-15,      -0.251,
2000-12-15,      -0.223,
2001-01-15,      -0.155,
2001-02-15,      -0.313,
2001-03-15,       0.030,
2001-04-15,       0.148,
2001-05-15,       0.186,
2001-06-15,       0.035,
2001-07-15,      -0.088,
2001-08-15,      -0.186,
2001-09-15,      -0.150,
2001-10-15,      -0.070,
2001-11-15,      -0.167,
2001-12-15,       0.032,
2002-01-15,       0.024,
2002-02-15,      -0.237,
2002-03-15,      -0.179,
2002-04-15,      -0.021,
2002-05-15,       0.156,
2002-06-15,      -0.077,
2002-07-15,       0.090,
2002-08-15,      -0.036,
2002-09-15,       0.087,
2002-10-15,       0.234,
2002-11-15,      -0.224,
2002-12-15,       0.049,
2003-01-15,      -0.396,
2003-02-15,      -0.281,
2003-03-15,      -0.251,
2003-04-15,      -0.152,
2003-05-15,      -0.134,
2003-06-15,       0.194,
2003-07-15,      -0.251,
2003-08-15,      -0.109,
2003-09-15,      -0.114,
2003-10-15,      -0.149,
2003-11-15,      -0.046,
2003-12-15,      -0.347,
2004-01-15,      -0.073,
2004-02-15,      -0.387,
2004-03-15,      -0.259,
2004-04-15,       0.127,
2004-05-15,      -0.018,
2004-06-15,      -0.105,
2004-07-15,       0.047,
2004-08-15,      -0.126,
2004-09-15,      -0.218,
2004-10-15,      -0.156,
