DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      27.991,
1900-02-15,      28.056,
1900-03-15,      28.255,
1900-04-15,      28.443,
1900-05-15,      28.423,
1900-06-15,      28.452,
1900-07-15,      27.985,
1900-08-15,      27.662,
1900-09-15,      27.329,
1900-10-15,      27.175,
1900-11-15,      26.828,
1900-12-15,      27.220,
1901-01-15,      27.410,
1901-02-15,      27.079,
1901-03-15,      27.335,
1901-04-15,      27.670,
1901-05-15,      27.704,
1901-06-15,      27.455,
1901-07-15,      26.959,
1901-08-15,      26.540,
1901-09-15,      26.478,
1901-10-15,      26.454,
1901-11-15,      26.301,
1901-12-15,      26.285,
1902-01-15,      26.134,
1902-02-15,      26.541,
1902-03-15,      27.021,
1902-04-15,      27.990,
1902-05-15,      28.355,
1902-06-15,      28.456,
1902-07-15,      28.659,
1902-08-15,      28.090,
1902-09-15,      28.169,
1902-10-15,      28.134,
1902-11-15,      28.195,
1902-12-15,      27.984,
1903-01-15,      27.904,
1903-02-15,      27.707,
1903-03-15,      28.070,
1903-04-15,      28.144,
1903-05-15,      27.791,
1903-06-15,      27.987,
1903-07-15,      26.774,
1903-08-15,      26.588,
1903-09-15,      26.196,
1903-10-15,      26.339,
1903-11-15,      25.937,
1903-12-15,      25.626,
1904-01-15,      25.877,
1904-02-15,      26.015,
1904-03-15,      26.454,
1904-04-15,      27.077,
1904-05-15,      27.493,
1904-06-15,      27.830,
1904-07-15,      27.972,
1904-08-15,      27.420,
1904-09-15,      26.776,
1904-10-15,      27.649,
1904-11-15,      26.838,
1904-12-15,      27.467,
1905-01-15,      27.285,
1905-02-15,      27.502,
1905-03-15,      28.191,
1905-04-15,      28.074,
1905-05-15,      28.938,
1905-06-15,      28.283,
1905-07-15,      28.053,
1905-08-15,      27.930,
1905-09-15,      28.169,
1905-10-15,      27.860,
1905-11-15,      27.515,
1905-12-15,      27.764,
1906-01-15,      27.490,
1906-02-15,      27.463,
1906-03-15,      28.078,
1906-04-15,      28.242,
1906-05-15,      27.916,
1906-06-15,      27.853,
1906-07-15,      26.766,
1906-08-15,      26.537,
1906-09-15,      25.977,
1906-10-15,      25.910,
1906-11-15,      26.364,
1906-12-15,      26.116,
1907-01-15,      26.033,
1907-02-15,      26.376,
1907-03-15,      26.851,
1907-04-15,      27.233,
1907-05-15,      27.421,
1907-06-15,      27.306,
1907-07-15,      26.715,
1907-08-15,      26.258,
1907-09-15,      26.899,
1907-10-15,      26.512,
1907-11-15,      26.447,
1907-12-15,      26.530,
1908-01-15,      26.335,
1908-02-15,      26.853,
1908-03-15,      26.670,
1908-04-15,      27.255,
1908-05-15,      27.427,
1908-06-15,      27.476,
1908-07-15,      26.622,
1908-08-15,      26.496,
1908-09-15,      26.261,
1908-10-15,      26.256,
1908-11-15,      25.817,
1908-12-15,      25.480,
1909-01-15,      26.324,
1909-02-15,      25.926,
1909-03-15,      26.755,
1909-04-15,      27.105,
1909-05-15,      27.526,
1909-06-15,      26.621,
1909-07-15,      26.260,
1909-08-15,      25.935,
1909-09-15,      25.932,
1909-10-15,      25.531,
1909-11-15,      25.199,
1909-12-15,      25.551,
1910-01-15,      25.679,
1910-02-15,      26.150,
1910-03-15,      26.491,
1910-04-15,      26.628,
1910-05-15,      26.491,
1910-06-15,      26.671,
1910-07-15,      26.383,
1910-08-15,      26.012,
1910-09-15,      25.502,
1910-10-15,      25.834,
1910-11-15,      26.162,
1910-12-15,      25.990,
1911-01-15,      26.039,
1911-02-15,      26.204,
1911-03-15,      26.471,
1911-04-15,      26.692,
1911-05-15,      26.837,
1911-06-15,      27.057,
1911-07-15,      27.014,
1911-08-15,      26.605,
1911-09-15,      26.974,
1911-10-15,      26.950,
1911-11-15,      27.506,
1911-12-15,      27.573,
1912-01-15,      28.114,
1912-02-15,      27.604,
1912-03-15,      27.959,
1912-04-15,      28.359,
1912-05-15,      27.889,
1912-06-15,      27.469,
1912-07-15,      27.142,
1912-08-15,      26.511,
1912-09-15,      26.864,
1912-10-15,      26.629,
1912-11-15,      26.848,
1912-12-15,      26.145,
1913-01-15,      26.405,
1913-02-15,      26.971,
1913-03-15,      27.433,
1913-04-15,      27.020,
1913-05-15,      27.598,
1913-06-15,      27.543,
1913-07-15,      27.097,
1913-08-15,      26.809,
1913-09-15,      26.815,
1913-10-15,      26.787,
1913-11-15,      27.461,
1913-12-15,      27.443,
1914-01-15,      27.289,
1914-02-15,      27.564,
1914-03-15,      27.600,
1914-04-15,      28.467,
1914-05-15,      27.889,
1914-06-15,      27.769,
1914-07-15,      27.753,
1914-08-15,      27.800,
1914-09-15,      27.444,
1914-10-15,      27.010,
1914-11-15,      26.988,
1914-12-15,      27.290,
1915-01-15,      27.472,
1915-02-15,      27.431,
1915-03-15,      27.771,
1915-04-15,      28.250,
1915-05-15,      28.388,
1915-06-15,      28.776,
1915-07-15,      27.309,
1915-08-15,      26.944,
1915-09-15,      26.936,
1915-10-15,      26.988,
1915-11-15,      26.533,
1915-12-15,      26.390,
1916-01-15,      26.490,
1916-02-15,      26.195,
1916-03-15,      26.757,
1916-04-15,      27.167,
1916-05-15,      27.657,
1916-06-15,      27.342,
1916-07-15,      26.145,
1916-08-15,      25.433,
1916-09-15,      25.425,
1916-10-15,      25.419,
1916-11-15,      24.983,
1916-12-15,      25.002,
1917-01-15,      25.057,
1917-02-15,      25.590,
1917-03-15,      26.636,
1917-04-15,      27.473,
1917-05-15,      27.564,
1917-06-15,      27.638,
1917-07-15,      27.173,
1917-08-15,      27.024,
1917-09-15,      26.729,
1917-10-15,      26.777,
1917-11-15,      26.254,
1917-12-15,      25.894,
1918-01-15,      25.768,
1918-02-15,      25.972,
1918-03-15,      26.342,
1918-04-15,      27.226,
1918-05-15,      27.706,
1918-06-15,      28.063,
1918-07-15,      27.167,
1918-08-15,      27.012,
1918-09-15,      27.171,
1918-10-15,      27.672,
1918-11-15,      27.890,
1918-12-15,      27.893,
1919-01-15,      28.167,
1919-02-15,      27.996,
1919-03-15,      28.160,
1919-04-15,      28.466,
1919-05-15,      28.511,
1919-06-15,      28.307,
1919-07-15,      27.636,
1919-08-15,      27.508,
1919-09-15,      27.266,
1919-10-15,      26.888,
1919-11-15,      26.332,
1919-12-15,      26.958,
1920-01-15,      27.229,
1920-02-15,      27.378,
1920-03-15,      27.798,
1920-04-15,      27.630,
1920-05-15,      27.681,
1920-06-15,      27.977,
1920-07-15,      27.376,
1920-08-15,      27.021,
1920-09-15,      27.032,
1920-10-15,      27.222,
1920-11-15,      26.600,
1920-12-15,      26.607,
1921-01-15,      27.023,
1921-02-15,      26.290,
1921-03-15,      25.884,
1921-04-15,      27.247,
1921-05-15,      26.972,
1921-06-15,      27.486,
1921-07-15,      26.974,
1921-08-15,      26.608,
1921-09-15,      26.600,
1921-10-15,      26.789,
1921-11-15,      25.681,
1921-12-15,      26.125,
1922-01-15,      26.074,
1922-02-15,      26.724,
1922-03-15,      27.356,
1922-04-15,      27.254,
1922-05-15,      28.096,
1922-06-15,      27.259,
1922-07-15,      26.804,
1922-08-15,      26.125,
1922-09-15,      26.397,
1922-10-15,      26.509,
1922-11-15,      26.371,
1922-12-15,      26.096,
1923-01-15,      26.203,
1923-02-15,      26.047,
1923-03-15,      26.443,
1923-04-15,      27.248,
1923-05-15,      27.638,
1923-06-15,      27.552,
1923-07-15,      27.044,
1923-08-15,      27.084,
1923-09-15,      27.397,
1923-10-15,      27.526,
1923-11-15,      27.526,
1923-12-15,      27.604,
1924-01-15,      27.043,
1924-02-15,      27.398,
1924-03-15,      27.655,
1924-04-15,      27.767,
1924-05-15,      27.056,
1924-06-15,      27.049,
1924-07-15,      26.283,
1924-08-15,      26.126,
1924-09-15,      25.928,
1924-10-15,      26.307,
1924-11-15,      25.615,
1924-12-15,      25.962,
1925-01-15,      25.599,
1925-02-15,      26.330,
1925-03-15,      26.775,
1925-04-15,      27.280,
1925-05-15,      27.494,
1925-06-15,      27.508,
1925-07-15,      27.726,
1925-08-15,      27.557,
1925-09-15,      27.524,
1925-10-15,      27.586,
1925-11-15,      27.669,
1925-12-15,      28.181,
1926-01-15,      28.084,
1926-02-15,      28.060,
