DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1950-01-15,      35.065,
1950-02-15,      35.108,
1950-03-15,      35.077,
1950-04-15,      35.053,
1950-05-15,      35.062,
1950-06-15,      35.089,
1950-07-15,      35.153,
1950-08-15,      35.209,
1950-09-15,      35.174,
1950-10-15,      35.140,
1950-11-15,      35.141,
1950-12-15,      35.148,
1951-01-15,      35.127,
1951-02-15,      35.093,
1951-03-15,      35.077,
1951-04-15,      35.053,
1951-05-15,      35.062,
1951-06-15,      35.089,
1951-07-15,      35.109,
1951-08-15,      35.111,
1951-09-15,      35.112,
1951-10-15,      35.094,
1951-11-15,      35.099,
1951-12-15,      35.110,
1952-01-15,      35.098,
1952-02-15,      35.112,
1952-03-15,      35.058,
1952-04-15,      35.036,
1952-05-15,      35.076,
1952-06-15,      35.139,
1952-07-15,      35.112,
1952-08-15,      35.103,
1952-09-15,      35.079,
1952-10-15,      35.056,
1952-11-15,      35.064,
1952-12-15,      35.079,
1953-01-15,      35.066,
1953-02-15,      35.044,
1953-03-15,      35.011,
1953-04-15,      34.985,
1953-05-15,      35.002,
1953-06-15,      35.035,
1953-07-15,      35.061,
1953-08-15,      35.069,
1953-09-15,      35.048,
1953-10-15,      35.028,
1953-11-15,      35.040,
1953-12-15,      35.057,
1954-01-15,      35.046,
1954-02-15,      35.027,
1954-03-15,      35.005,
1954-04-15,      34.988,
1954-05-15,      35.003,
1954-06-15,      35.053,
1954-07-15,      35.077,
1954-08-15,      35.082,
1954-09-15,      35.059,
1954-10-15,      35.037,
1954-11-15,      35.048,
1954-12-15,      35.064,
1955-01-15,      35.052,
1955-02-15,      35.031,
1955-03-15,      35.011,
1955-04-15,      34.994,
1955-05-15,      35.008,
1955-06-15,      35.040,
1955-07-15,      35.066,
1955-08-15,      35.071,
1955-09-15,      35.050,
1955-10-15,      35.005,
1955-11-15,      35.081,
1955-12-15,      35.084,
1956-01-15,      35.071,
1956-02-15,      35.049,
1956-03-15,      35.009,
1956-04-15,      34.991,
1956-05-15,      35.005,
1956-06-15,      35.036,
1956-07-15,      35.081,
1956-08-15,      35.141,
1956-09-15,      35.129,
1956-10-15,      35.085,
1956-11-15,      35.093,
1956-12-15,      35.108,
1957-01-15,      35.117,
1957-02-15,      35.086,
1957-03-15,      35.055,
1957-04-15,      35.033,
1957-05-15,      35.043,
1957-06-15,      35.072,
1957-07-15,      35.093,
1957-08-15,      35.082,
1957-09-15,      35.060,
1957-10-15,      35.074,
1957-11-15,      35.087,
1957-12-15,      35.158,
1958-01-15,      35.140,
1958-02-15,      35.115,
1958-03-15,      35.120,
1958-04-15,      35.079,
1958-05-15,      34.958,
1958-06-15,      34.915,
1958-07-15,      34.930,
1958-08-15,      34.962,
1958-09-15,      35.016,
1958-10-15,      34.998,
1958-11-15,      35.017,
1958-12-15,      35.038,
1959-01-15,      34.992,
1959-02-15,      34.966,
1959-03-15,      34.949,
1959-04-15,      34.961,
1959-05-15,      34.989,
1959-06-15,      35.032,
1959-07-15,      35.067,
1959-08-15,      35.069,
1959-09-15,      35.048,
1959-10-15,      35.027,
1959-11-15,      35.040,
1959-12-15,      35.056,
1960-01-15,      35.045,
1960-02-15,      35.025,
1960-03-15,      35.003,
1960-04-15,      34.985,
1960-05-15,      35.000,
1960-06-15,      35.049,
1960-07-15,      35.092,
1960-08-15,      35.124,
1960-09-15,      35.094,
1960-10-15,      35.072,
1960-11-15,      35.047,
1960-12-15,      35.088,
1961-01-15,      35.092,
1961-02-15,      35.058,
1961-03-15,      35.058,
1961-04-15,      35.039,
1961-05-15,      35.061,
1961-06-15,      35.114,
1961-07-15,      35.101,
1961-08-15,      35.110,
1961-09-15,      35.031,
1961-10-15,      35.030,
1961-11-15,      35.054,
1961-12-15,      35.086,
1962-01-15,      35.080,
1962-02-15,      35.067,
1962-03-15,      35.051,
1962-04-15,      35.030,
1962-05-15,      35.010,
1962-06-15,      35.010,
1962-07-15,      35.041,
1962-08-15,      35.070,
1962-09-15,      35.046,
1962-10-15,      35.025,
1962-11-15,      35.038,
