DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1960-01-15,       6.978,
1960-02-15,       6.510,
1960-03-15,       6.965,
1960-04-15,       5.866,
1960-05-15,       6.301,
1960-06-15,       5.660,
1960-07-15,       5.606,
1960-08-15,       5.821,
1960-09-15,       7.232,
1960-10-15,       5.903,
1960-11-15,       6.947,
1960-12-15,       5.516,
1961-01-15,       6.897,
1961-02-15,       7.346,
1961-03-15,       5.171,
1961-04-15,       5.670,
1961-05-15,       5.365,
1961-06-15,       5.612,
1961-07-15,       6.095,
1961-08-15,       6.895,
1961-09-15,       6.138,
1961-10-15,       5.897,
1961-11-15,       5.482,
1961-12-15,       6.793,
1962-01-15,       7.299,
1962-02-15,       5.133,
1962-03-15,       6.432,
1962-04-15,       5.017,
1962-05-15,       6.511,
1962-06-15,       5.013,
1962-07-15,       6.680,
1962-08-15,       6.151,
1962-09-15,       6.352,
1962-10-15,       5.542,
1962-11-15,       6.112,
1962-12-15,       5.729,
1963-01-15,       5.823,
1963-02-15,       5.502,
1963-03-15,       5.981,
1963-04-15,       4.638,
1963-05-15,       5.131,
1963-06-15,       4.939,
1963-07-15,       5.421,
1963-08-15,       6.615,
1963-09-15,       5.606,
1963-10-15,       5.661,
1963-11-15,       4.136,
1963-12-15,       6.108,
1964-01-15,       6.474,
1964-02-15,       6.231,
1964-03-15,       5.913,
1964-04-15,       5.981,
1964-05-15,       5.424,
1964-06-15,       6.443,
1964-07-15,       5.850,
1964-08-15,       7.107,
1964-09-15,       6.689,
1964-10-15,       6.154,
1964-11-15,       6.645,
1964-12-15,       6.236,
1965-01-15,       5.777,
1965-02-15,       6.069,
1965-03-15,       5.360,
1965-04-15,       5.123,
1965-05-15,       4.662,
1965-06-15,       5.495,
1965-07-15,       7.108,
1965-08-15,       5.549,
1965-09-15,       5.897,
1965-10-15,       5.697,
1965-11-15,       5.475,
1965-12-15,       5.382,
1966-01-15,       6.010,
1966-02-15,       5.576,
1966-03-15,       5.320,
1966-04-15,       4.945,
1966-05-15,       4.954,
1966-06-15,       4.932,
1966-07-15,       7.049,
1966-08-15,       6.400,
1966-09-15,       5.703,
1966-10-15,       6.451,
1966-11-15,       6.662,
1966-12-15,       6.527,
1967-01-15,       5.920,
1967-02-15,       5.860,
1967-03-15,       5.565,
1967-04-15,       5.597,
1967-05-15,       6.274,
1967-06-15,       6.076,
1967-07-15,       6.105,
1967-08-15,       6.879,
1967-09-15,       6.243,
1967-10-15,       6.017,
1967-11-15,       6.134,
1967-12-15,       6.469,
1968-01-15,       7.133,
1968-02-15,       6.838,
1968-03-15,       6.355,
1968-04-15,       5.172,
1968-05-15,       4.954,
1968-06-15,       5.197,
1968-07-15,       6.719,
1968-08-15,       6.942,
1968-09-15,       5.638,
1968-10-15,       6.373,
1968-11-15,       5.786,
1968-12-15,       6.601,
1969-01-15,       5.749,
1969-02-15,       5.985,
1969-03-15,       6.406,
1969-04-15,       5.458,
1969-05-15,       5.552,
1969-06-15,       5.881,
1969-07-15,       6.314,
1969-08-15,       5.394,
1969-09-15,       6.376,
1969-10-15,       5.689,
1969-11-15,       6.241,
1969-12-15,       6.433,
1970-01-15,       6.534,
1970-02-15,       6.803,
1970-03-15,       6.416,
1970-04-15,       6.170,
1970-05-15,       6.146,
1970-06-15,       7.013,
1970-07-15,       6.129,
1970-08-15,       7.047,
1970-09-15,       6.669,
1970-10-15,       6.522,
1970-11-15,       6.782,
1970-12-15,       6.890,
1971-01-15,       6.712,
1971-02-15,       7.074,
1971-03-15,       5.505,
1971-04-15,       6.577,
1971-05-15,       7.021,
1971-06-15,       7.046,
1971-07-15,       6.318,
1971-08-15,       6.170,
1971-09-15,       6.331,
1971-10-15,       6.973,
1971-11-15,       6.417,
1971-12-15,       7.053,
1972-01-15,       6.921,
1972-02-15,       5.873,
1972-03-15,       6.431,
1972-04-15,       5.609,
1972-05-15,       5.485,
1972-06-15,       5.640,
1972-07-15,       5.136,
1972-08-15,       5.670,
1972-09-15,       5.831,
1972-10-15,       5.952,
1972-11-15,       5.313,
1972-12-15,       5.026,
1973-01-15,       6.481,
1973-02-15,       6.363,
1973-03-15,       5.605,
1973-04-15,       5.881,
1973-05-15,       5.950,
1973-06-15,       6.416,
1973-07-15,       6.511,
1973-08-15,       6.724,
1973-09-15,       6.841,
1973-10-15,       6.163,
1973-11-15,       6.669,
1973-12-15,       6.467,
1974-01-15,       6.095,
1974-02-15,       6.760,
1974-03-15,       6.790,
1974-04-15,       6.556,
1974-05-15,       6.859,
1974-06-15,       5.667,
1974-07-15,       7.253,
1974-08-15,       6.870,
1974-09-15,       6.712,
1974-10-15,       7.200,
1974-11-15,       6.777,
1974-12-15,       7.130,
1975-01-15,       7.232,
1975-02-15,       5.928,
1975-03-15,       7.097,
1975-04-15,       6.129,
1975-05-15,       6.108,
1975-06-15,       7.019,
1975-07-15,       6.402,
1975-08-15,       6.971,
1975-09-15,       6.806,
1975-10-15,       6.793,
1975-11-15,       7.254,
1975-12-15,       7.977,
1976-01-15,       6.481,
1976-02-15,       6.749,
1976-03-15,       7.218,
1976-04-15,       5.686,
1976-05-15,       5.970,
1976-06-15,       6.454,
1976-07-15,       6.330,
1976-08-15,       6.562,
1976-09-15,       6.881,
1976-10-15,       6.017,
1976-11-15,       5.972,
1976-12-15,       6.395,
1977-01-15,       6.574,
1977-02-15,       6.692,
1977-03-15,       6.089,
1977-04-15,       6.606,
1977-05-15,       5.784,
1977-06-15,       5.830,
1977-07-15,       7.030,
1977-08-15,       6.476,
1977-09-15,       5.862,
1977-10-15,       5.915,
1977-11-15,       6.105,
1977-12-15,       6.053,
1978-01-15,       6.907,
1978-02-15,       6.596,
1978-03-15,       6.579,
1978-04-15,       5.413,
1978-05-15,       6.062,
1978-06-15,       5.882,
1978-07-15,       6.310,
1978-08-15,       6.630,
1978-09-15,       7.125,
1978-10-15,       6.335,
1978-11-15,       6.369,
1978-12-15,       6.902,
1979-01-15,       7.049,
1979-02-15,       6.035,
1979-03-15,       6.409,
1979-04-15,       5.859,
1979-05-15,       5.050,
1979-06-15,       6.115,
1979-07-15,       6.063,
1979-08-15,       5.976,
1979-09-15,       5.882,
1979-10-15,       5.940,
1979-11-15,       6.367,
1979-12-15,       5.911,
1980-01-15,       6.934,
1980-02-15,       6.301,
1980-03-15,       6.255,
1980-04-15,       5.509,
1980-05-15,       5.602,
1980-06-15,       6.025,
1980-07-15,       6.424,
1980-08-15,       6.977,
1980-09-15,       6.012,
1980-10-15,       6.852,
1980-11-15,       6.710,
1980-12-15,       7.034,
1981-01-15,       6.615,
1981-02-15,       6.978,
1981-03-15,       6.417,
1981-04-15,       6.245,
1981-05-15,       6.194,
1981-06-15,       5.655,
1981-07-15,       7.310,
1981-08-15,       5.624,
1981-09-15,       7.400,
1981-10-15,       6.189,
1981-11-15,       6.451,
1981-12-15,       6.805,
1982-01-15,       7.284,
1982-02-15,       6.338,
1982-03-15,       6.336,
1982-04-15,       4.823,
1982-05-15,       5.218,
1982-06-15,       6.185,
1982-07-15,       6.491,
1982-08-15,       6.473,
1982-09-15,       4.887,
1982-10-15,       4.017,
1982-11-15,       4.437,
1982-12-15,       5.227,
1983-01-15,       6.505,
1983-02-15,       5.984,
1983-03-15,       6.223,
1983-04-15,       5.723,
1983-05-15,       5.237,
1983-06-15,       5.074,
1983-07-15,       5.837,
1983-08-15,       5.994,
1983-09-15,       6.190,
1983-10-15,       6.146,
1983-11-15,       6.177,
1983-12-15,       6.048,
1984-01-15,       6.596,
1984-02-15,       5.659,
1984-03-15,       6.766,
1984-04-15,       5.941,
1984-05-15,       5.073,
1984-06-15,       6.026,
1984-07-15,       5.788,
