DATE-YMD,chlorophyll
1/15/98,0.08
2/15/98,0.106
3/15/98,0.117
4/15/98,0.126
5/15/98,0.136
6/15/98,0.199
7/15/98,0.281
8/15/98,0.271
9/15/98,0.185
10/15/98,0.169
11/15/98,0.159
12/15/98,0.192
1/15/99,0.157
2/15/99,0.147
3/15/99,0.157
4/15/99,0.158
5/15/99,0.155
6/15/99,0.157
7/15/99,0.162
8/15/99,0.171
9/15/99,0.168
10/15/99,0.164
11/15/99,0.169
12/15/99,0.168
1/15/00,0.17
2/15/00,0.169
3/15/00,0.181
4/15/00,0.165
5/15/00,0.167
6/15/00,0.167
7/15/00,0.171
8/15/00,0.174
9/15/00,0.176
10/15/00,0.168
11/15/00,0.164
12/15/00,0.163
1/15/01,0.162
2/15/01,0.166
3/15/01,0.183
4/15/01,0.162
5/15/01,0.165
6/15/01,0.164
7/15/01,0.175
8/15/01,0.188
9/15/01,0.198
10/15/01,0.171
11/15/01,0.163
12/15/01,0.163
1/15/02,0.156
2/15/02,0.148
3/15/02,0.156
4/15/02,0.16
5/15/02,0.158
6/15/02,0.161
7/15/02,0.156
8/15/02,0.16
9/15/02,0.15
10/15/02,0.13
11/15/02,0.12
12/15/02,0.132
1/15/03,0.143
2/15/03,0.151
3/15/03,0.148
4/15/03,0.156
5/15/03,0.171
6/15/03,0.178
7/15/03,0.18
8/15/03,0.173
9/15/03,0.161
10/15/03,0.153
11/15/03,0.146
12/15/03,0.152
1/15/04,0.157
2/15/04,0.15
3/15/04,0.156
4/15/04,0.178
5/15/04,0.164
6/15/04,0.166
7/15/04,0.17
8/15/04,0.172
9/15/04,0.166
10/15/04,0.155
11/15/04,0.147
12/15/04,0.147
1/15/05,0.151
2/15/05,0.147
3/15/05,0.14
4/15/05,0.132
5/15/05,0.14
6/15/05,0.153
7/15/05,0.167
8/15/05,0.179
9/15/05,0.167
10/15/05,0.155
11/15/05,0.157
12/15/05,0.159
1/15/06,0.155
2/15/06,0.155
3/15/06,0.184
4/15/06,0.164
5/15/06,0.154
6/15/06,0.156
7/15/06,0.163
8/15/06,0.16
9/15/06,0.148
10/15/06,0.134
11/15/06,0.128
12/15/06,0.133
1/15/07,0.142
2/15/07,0.156
3/15/07,0.158
4/15/07,0.171
5/15/07,0.164
6/15/07,0.166
7/15/07,0.171
8/15/07,0.171
9/15/07,0.173
10/15/07,0.17
11/15/07,0.166
12/15/07,0.159
1/15/08,0.159
2/15/08,0.165
3/15/08,0.137
4/15/08,0.144
5/15/08,0.152
6/15/08,0.155
7/15/08,0.149
8/15/08,0.155
9/15/08,0.155
10/15/08,0.15
11/15/08,0.145
12/15/08,0.151
1/15/09,0.149
2/15/09,0.152
3/15/09,0.169
4/15/09,0.156
5/15/09,0.145
6/15/09,0.148
7/15/09,0.151
8/15/09,0.157
9/15/09,0.143
10/15/09,0.136
11/15/09,0.135
12/15/09,0.137
1/15/10,0.138
2/15/10,0.148
3/15/10,0.138
4/15/10,0.147
5/15/10,0.19
6/15/10,0.227
7/15/10,0.204
8/15/10,0.186
9/15/10,0.182
10/15/10,0.175
11/15/10,0.158
12/15/10,0.161
1/15/11,0.159
2/15/11,0.149
3/15/11,0.144
4/15/11,0.138
5/15/11,0.14
6/15/11,0.149
7/15/11,0.154
8/15/11,0.159
9/15/11,0.165
10/15/11,0.151
