DATE-YMD,CHLA= OCCCI-v5.0 satellite Chlorophyll (mg/m3),
1998-01-15,       0.111,
1998-02-15,       0.140,
1998-03-15,       0.152,
1998-04-15,       0.160,
1998-05-15,       0.174,
1998-06-15,       0.236,
1998-07-15,       0.308,
1998-08-15,       0.313,
1998-09-15,       0.222,
1998-10-15,       0.197,
1998-11-15,       0.193,
1998-12-15,       0.229,
1999-01-15,       0.192,
1999-02-15,       0.172,
1999-03-15,       0.186,
1999-04-15,       0.187,
1999-05-15,       0.189,
1999-06-15,       0.186,
1999-07-15,       0.195,
1999-08-15,       0.201,
1999-09-15,       0.192,
1999-10-15,       0.195,
1999-11-15,       0.203,
1999-12-15,       0.208,
2000-01-15,       0.213,
2000-02-15,       0.209,
2000-03-15,       0.219,
2000-04-15,       0.204,
2000-05-15,       0.206,
2000-06-15,       0.201,
2000-07-15,       0.199,
2000-08-15,       0.202,
2000-09-15,       0.196,
2000-10-15,       0.187,
2000-11-15,       0.184,
2000-12-15,       0.185,
2001-01-15,       0.195,
2001-02-15,       0.197,
2001-03-15,       0.212,
2001-04-15,       0.187,
2001-05-15,       0.195,
2001-06-15,       0.192,
2001-07-15,       0.204,
2001-08-15,       0.210,
2001-09-15,       0.213,
2001-10-15,       0.181,
2001-11-15,       0.186,
2001-12-15,       0.190,
2002-01-15,       0.190,
2002-02-15,       0.180,
2002-03-15,       0.183,
2002-04-15,       0.195,
2002-05-15,       0.192,
2002-06-15,       0.201,
2002-07-15,       0.199,
2002-08-15,       0.196,
2002-09-15,       0.176,
2002-10-15,       0.156,
2002-11-15,       0.153,
2002-12-15,       0.171,
2003-01-15,       0.183,
2003-02-15,       0.184,
2003-03-15,       0.184,
2003-04-15,       0.199,
2003-05-15,       0.216,
2003-06-15,       0.229,
2003-07-15,       0.226,
2003-08-15,       0.207,
2003-09-15,       0.190,
2003-10-15,       0.179,
2003-11-15,       0.174,
2003-12-15,       0.187,
2004-01-15,       0.189,
2004-02-15,       0.179,
2004-03-15,       0.191,
2004-04-15,       0.225,
2004-05-15,       0.201,
2004-06-15,       0.202,
2004-07-15,       0.205,
2004-08-15,       0.203,
2004-09-15,       0.197,
2004-10-15,       0.179,
2004-11-15,       0.174,
2004-12-15,       0.177,
2005-01-15,       0.177,
2005-02-15,       0.176,
2005-03-15,       0.167,
2005-04-15,       0.163,
2005-05-15,       0.172,
2005-06-15,       0.190,
2005-07-15,       0.208,
2005-08-15,       0.224,
2005-09-15,       0.198,
2005-10-15,       0.183,
2005-11-15,       0.196,
2005-12-15,       0.192,
2006-01-15,       0.187,
2006-02-15,       0.187,
2006-03-15,       0.223,
2006-04-15,       0.209,
2006-05-15,       0.193,
2006-06-15,       0.196,
2006-07-15,       0.198,
2006-08-15,       0.192,
2006-09-15,       0.174,
2006-10-15,       0.161,
2006-11-15,       0.159,
2006-12-15,       0.165,
2007-01-15,       0.174,
2007-02-15,       0.191,
2007-03-15,       0.198,
2007-04-15,       0.221,
2007-05-15,       0.210,
2007-06-15,       0.208,
2007-07-15,       0.212,
2007-08-15,       0.206,
2007-09-15,       0.206,
2007-10-15,       0.208,
2007-11-15,       0.197,
2007-12-15,       0.191,
2008-01-15,       0.193,
2008-02-15,       0.206,
2008-03-15,       0.178,
2008-04-15,       0.185,
2008-05-15,       0.198,
2008-06-15,       0.200,
2008-07-15,       0.192,
