DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
1982-01-15,      26.649,
1982-02-15,      26.536,
1982-03-15,      27.092,
1982-04-15,      27.825,
1982-05-15,      28.371,
1982-06-15,      28.354,
1982-07-15,      27.573,
1982-08-15,      27.764,
1982-09-15,      28.006,
1982-10-15,      28.503,
1982-11-15,      28.499,
1982-12-15,      28.852,
1983-01-15,      28.699,
1983-02-15,      28.541,
1983-03-15,      28.454,
1983-04-15,      28.486,
1983-05-15,      28.560,
1983-06-15,      28.156,
1983-07-15,      26.967,
1983-08-15,      26.461,
1983-09-15,      26.377,
1983-10-15,      25.752,
1983-11-15,      25.530,
1983-12-15,      25.486,
1984-01-15,      25.603,
1984-02-15,      26.575,
1984-03-15,      26.710,
1984-04-15,      27.270,
1984-05-15,      27.189,
1984-06-15,      26.680,
1984-07-15,      26.618,
1984-08-15,      26.361,
1984-09-15,      26.351,
1984-10-15,      26.015,
1984-11-15,      25.518,
1984-12-15,      25.163,
1985-01-15,      25.260,
1985-02-15,      25.812,
1985-03-15,      26.348,
1985-04-15,      26.706,
1985-05-15,      26.805,
1985-06-15,      26.632,
1985-07-15,      26.499,
1985-08-15,      26.270,
1985-09-15,      25.991,
1985-10-15,      26.028,
1985-11-15,      26.231,
1985-12-15,      26.054,
1986-01-15,      25.844,
1986-02-15,      25.955,
1986-03-15,      26.638,
1986-04-15,      27.286,
1986-05-15,      27.318,
1986-06-15,      27.375,
1986-07-15,      27.258,
1986-08-15,      27.091,
1986-09-15,      27.161,
1986-10-15,      27.283,
1986-11-15,      27.363,
1986-12-15,      27.468,
1987-01-15,      27.507,
1987-02-15,      27.552,
1987-03-15,      28.124,
1987-04-15,      28.254,
1987-05-15,      28.199,
1987-06-15,      28.424,
1987-07-15,      28.335,
1987-08-15,      28.097,
1987-09-15,      28.077,
1987-10-15,      27.738,
1987-11-15,      27.666,
1987-12-15,      27.410,
1988-01-15,      27.233,
1988-02-15,      26.952,
1988-03-15,      27.294,
1988-04-15,      27.259,
1988-05-15,      26.560,
1988-06-15,      26.012,
1988-07-15,      25.573,
1988-08-15,      25.474,
1988-09-15,      25.830,
1988-10-15,      24.758,
1988-11-15,      24.596,
1988-12-15,      24.633,
1989-01-15,      24.562,
1989-02-15,      25.256,
1989-03-15,      25.795,
1989-04-15,      26.485,
1989-05-15,      26.986,
1989-06-15,      27.034,
1989-07-15,      26.728,
1989-08-15,      26.177,
1989-09-15,      26.253,
1989-10-15,      26.219,
1989-11-15,      26.206,
1989-12-15,      26.440,
1990-01-15,      26.450,
1990-02-15,      26.742,
1990-03-15,      27.053,
1990-04-15,      27.742,
1990-05-15,      27.922,
1990-06-15,      27.443,
1990-07-15,      27.268,
1990-08-15,      26.994,
1990-09-15,      26.728,
1990-10-15,      26.949,
1990-11-15,      26.727,
1990-12-15,      26.863,
1991-01-15,      26.893,
1991-02-15,      26.873,
1991-03-15,      27.158,
1991-04-15,      27.888,
1991-05-15,      28.127,
1991-06-15,      28.096,
1991-07-15,      27.766,
1991-08-15,      27.504,
1991-09-15,      27.071,
1991-10-15,      27.408,
1991-11-15,      27.714,
1991-12-15,      28.144,
1992-01-15,      28.232,
1992-02-15,      28.278,
1992-03-15,      28.391,
1992-04-15,      28.805,
1992-05-15,      28.789,
1992-06-15,      28.124,
1992-07-15,      27.451,
1992-08-15,      26.822,
1992-09-15,      26.601,
1992-10-15,      26.268,
1992-11-15,      26.639,
1992-12-15,      26.781,
1993-01-15,      26.729,
1993-02-15,      27.069,
1993-03-15,      27.464,
1993-04-15,      28.126,
1993-05-15,      28.532,
1993-06-15,      27.856,
1993-07-15,      27.515,
1993-08-15,      26.864,
1993-09-15,      26.998,
1993-10-15,      26.958,
1993-11-15,      26.898,
1993-12-15,      26.739,
1994-01-15,      26.582,
1994-02-15,      26.650,
1994-03-15,      27.380,
1994-04-15,      27.885,
1994-05-15,      28.005,
1994-06-15,      27.840,
1994-07-15,      27.287,
1994-08-15,      27.296,
1994-09-15,      27.044,
1994-10-15,      27.373,
1994-11-15,      27.729,
1994-12-15,      27.795,
1995-01-15,      27.316,
1995-02-15,      27.374,
1995-03-15,      27.530,
1995-04-15,      27.875,
1995-05-15,      27.667,
1995-06-15,      27.352,
1995-07-15,      27.091,
1995-08-15,      26.334,
1995-09-15,      26.100,
1995-10-15,      25.825,
1995-11-15,      25.814,
1995-12-15,      25.730,
1996-01-15,      25.738,
1996-02-15,      25.958,
1996-03-15,      26.578,
1996-04-15,      27.317,
1996-05-15,      27.370,
1996-06-15,      27.231,
1996-07-15,      26.931,
1996-08-15,      26.591,
1996-09-15,      26.414,
1996-10-15,      26.222,
1996-11-15,      26.390,
1996-12-15,      26.045,
1997-01-15,      25.952,
1997-02-15,      26.343,
1997-03-15,      26.875,
1997-04-15,      27.695,
1997-05-15,      28.284,
1997-06-15,      28.515,
1997-07-15,      28.565,
1997-08-15,      28.583,
1997-09-15,      28.603,
1997-10-15,      28.727,
1997-11-15,      28.930,
1997-12-15,      28.743,
1998-01-15,      28.590,
1998-02-15,      28.468,
1998-03-15,      28.418,
1998-04-15,      28.303,
1998-05-15,      28.327,
1998-06-15,      26.960,
1998-07-15,      26.145,
1998-08-15,      25.704,
1998-09-15,      25.735,
1998-10-15,      25.431,
1998-11-15,      25.508,
1998-12-15,      24.912,
1999-01-15,      24.981,
1999-02-15,      25.633,
1999-03-15,      26.342,
1999-04-15,      26.814,
1999-05-15,      26.962,
1999-06-15,      26.625,
1999-07-15,      26.270,
1999-08-15,      25.676,
1999-09-15,      25.735,
1999-10-15,      25.577,
1999-11-15,      25.193,
1999-12-15,      24.994,
2000-01-15,      24.799,
2000-02-15,      25.213,
2000-03-15,      26.109,
2000-04-15,      26.911,
2000-05-15,      26.915,
2000-06-15,      27.010,
2000-07-15,      26.569,
2000-08-15,      26.395,
2000-09-15,      26.237,
2000-10-15,      26.062,
2000-11-15,      25.917,
2000-12-15,      25.591,
2001-01-15,      25.809,
2001-02-15,      26.176,
2001-03-15,      26.864,
2001-04-15,      27.242,
2001-05-15,      27.423,
2001-06-15,      27.547,
2001-07-15,      27.193,
2001-08-15,      26.809,
2001-09-15,      26.575,
2001-10-15,      26.523,
2001-11-15,      26.345,
2001-12-15,      26.112,
2002-01-15,      26.364,
2002-02-15,      26.762,
2002-03-15,      27.172,
2002-04-15,      27.838,
2002-05-15,      28.072,
2002-06-15,      28.308,
2002-07-15,      27.881,
2002-08-15,      27.564,
2002-09-15,      27.614,
2002-10-15,      27.789,
2002-11-15,      28.026,
2002-12-15,      27.942,
2003-01-15,      27.450,
2003-02-15,      27.385,
2003-03-15,      27.733,
2003-04-15,      27.670,
2003-05-15,      27.284,
2003-06-15,      27.370,
2003-07-15,      27.343,
2003-08-15,      26.943,
2003-09-15,      26.945,
2003-10-15,      27.192,
2003-11-15,      27.034,
2003-12-15,      26.981,
2004-01-15,      26.783,
2004-02-15,      26.895,
2004-03-15,      27.051,
2004-04-15,      27.762,
2004-05-15,      27.951,
2004-06-15,      27.705,
2004-07-15,      27.764,
2004-08-15,      27.507,
2004-09-15,      27.427,
2004-10-15,      27.405,
2004-11-15,      27.408,
2004-12-15,      27.277,
2005-01-15,      27.176,
2005-02-15,      26.974,
2005-03-15,      27.505,
2005-04-15,      27.932,
2005-05-15,      28.099,
2005-06-15,      27.905,
2005-07-15,      27.375,
2005-08-15,      26.962,
2005-09-15,      26.642,
2005-10-15,      26.698,
2005-11-15,      26.286,
2005-12-15,      25.841,
2006-01-15,      25.638,
2006-02-15,      26.064,
2006-03-15,      26.571,
2006-04-15,      27.523,
2006-05-15,      27.817,
2006-06-15,      27.790,
2006-07-15,      27.284,
2006-08-15,      27.235,
2006-09-15,      27.294,
2006-10-15,      27.416,
2006-11-15,      27.667,
2006-12-15,      27.745,
2007-01-15,      27.315,
2007-02-15,      26.843,
2007-03-15,      27.158,
2007-04-15,      27.702,
2007-05-15,      27.452,
2007-06-15,      27.568,
2007-07-15,      26.885,
2007-08-15,      26.320,
2007-09-15,      25.898,
2007-10-15,      25.583,
2007-11-15,      25.398,
2007-12-15,      25.468,
2008-01-15,      24.974,
2008-02-15,      25.247,
2008-03-15,      26.296,
2008-04-15,      26.954,
2008-05-15,      27.193,
2008-06-15,      27.068,
2008-07-15,      27.031,
2008-08-15,      26.828,
2008-09-15,      26.522,
2008-10-15,      26.569,
2008-11-15,      26.466,
2008-12-15,      25.825,
2009-01-15,      25.764,
2009-02-15,      26.133,
2009-03-15,      26.611,
2009-04-15,      27.649,
2009-05-15,      28.057,
2009-06-15,      28.128,
2009-07-15,      27.833,
2009-08-15,      27.591,
2009-09-15,      27.476,
2009-10-15,      27.685,
2009-11-15,      28.254,
2009-12-15,      28.327,
2010-01-15,      28.097,
2010-02-15,      27.922,
2010-03-15,      28.344,
2010-04-15,      28.395,
2010-05-15,      27.774,
2010-06-15,      27.160,
2010-07-15,      26.382,
2010-08-15,      25.693,
2010-09-15,      25.455,
2010-10-15,      25.360,
2010-11-15,      25.384,
2010-12-15,      25.436,
2011-01-15,      25.087,
2011-02-15,      25.546,
2011-03-15,      26.401,
2011-04-15,      27.050,
2011-05-15,      27.488,
2011-06-15,      27.397,
2011-07-15,      27.107,
2011-08-15,      26.482,
2011-09-15,      26.093,
2011-10-15,      26.062,
2011-11-15,      25.846,
2011-12-15,      25.658,
