DATE-YMD,OTHR= SeaWinds scalar Windspeed (m/s),
1998-01-15,       6.315,
1998-02-15,       6.755,
1998-03-15,       6.391,
1998-04-15,       6.243,
1998-05-15,       5.434,
1998-06-15,       5.798,
1998-07-15,       6.033,
1998-08-15,       6.206,
1998-09-15,       6.068,
1998-10-15,       6.546,
1998-11-15,       6.607,
1998-12-15,       7.027,
1999-01-15,       7.006,
1999-02-15,       6.160,
1999-03-15,       5.928,
1999-04-15,       5.853,
1999-05-15,       6.495,
1999-06-15,       6.569,
1999-07-15,       7.890,
1999-08-15,       7.115,
1999-09-15,       6.428,
1999-10-15,       7.426,
1999-11-15,       7.242,
1999-12-15,       7.518,
2000-01-15,       7.718,
2000-02-15,       6.896,
2000-03-15,       6.100,
2000-04-15,       6.123,
2000-05-15,       6.255,
2000-06-15,       7.088,
2000-07-15,       7.189,
2000-08-15,       8.014,
2000-09-15,       6.972,
2000-10-15,       7.530,
2000-11-15,       6.980,
2000-12-15,       6.983,
2001-01-15,       7.146,
2001-02-15,       7.015,
2001-03-15,       6.102,
2001-04-15,       6.222,
2001-05-15,       6.326,
2001-06-15,       7.014,
2001-07-15,       7.419,
2001-08-15,       7.463,
2001-09-15,       6.946,
2001-10-15,       6.456,
2001-11-15,       7.303,
2001-12-15,       7.190,
2002-01-15,       7.421,
2002-02-15,       6.793,
2002-03-15,       6.805,
2002-04-15,       5.947,
2002-05-15,       5.558,
2002-06-15,       6.717,
2002-07-15,       6.419,
2002-08-15,       7.332,
2002-09-15,       6.778,
2002-10-15,       6.734,
2002-11-15,       7.195,
2002-12-15,       6.800,
2003-01-15,       7.482,
2003-02-15,       6.707,
2003-03-15,       6.260,
2003-04-15,       6.155,
2003-05-15,       6.520,
2003-06-15,       5.502,
2003-07-15,       7.346,
2003-08-15,       6.774,
2003-09-15,       6.420,
2003-10-15,       6.420,
2003-11-15,       6.374,
2003-12-15,       7.699,
2004-01-15,       6.905,
2004-02-15,       7.144,
2004-03-15,       6.403,
2004-04-15,       5.907,
2004-05-15,       6.405,
2004-06-15,       7.236,
2004-07-15,       6.016,
2004-08-15,       7.153,
2004-09-15,       6.541,
2004-10-15,       6.485,
2004-11-15,       6.426,
2004-12-15,       6.643,
2005-01-15,       7.541,
2005-02-15,       6.894,
2005-03-15,       5.984,
2005-04-15,       6.160,
2005-05-15,       5.721,
2005-06-15,       6.261,
2005-07-15,       7.371,
2005-08-15,       6.637,
2005-09-15,       7.044,
2005-10-15,       7.165,
2005-11-15,       7.016,
2005-12-15,       7.484,
2006-01-15,       7.187,
2006-02-15,       6.320,
2006-03-15,       6.306,
2006-04-15,       5.979,
2006-05-15,       5.638,
2006-06-15,       7.256,
2006-07-15,       6.785,
2006-08-15,       7.206,
2006-09-15,       7.231,
2006-10-15,       6.346,
2006-11-15,       6.377,
2006-12-15,       7.175,
2007-01-15,       7.324,
2007-02-15,       6.815,
2007-03-15,       6.409,
2007-04-15,       6.024,
2007-05-15,       6.161,
2007-06-15,       7.195,
2007-07-15,       6.641,
2007-08-15,       7.522,
2007-09-15,       7.820,
2007-10-15,       6.855,
2007-11-15,       7.635,
2007-12-15,       7.448,
2008-01-15,       7.413,
2008-02-15,       6.837,
2008-03-15,       5.901,
2008-04-15,       5.905,
2008-05-15,       6.149,
2008-06-15,       6.812,
2008-07-15,       7.087,
2008-08-15,       7.195,
2008-09-15,       7.161,
2008-10-15,       6.988,
2008-11-15,       7.377,
2008-12-15,       7.610,
2009-01-15,       6.978,
2009-02-15,       6.651,
2009-03-15,       6.017,
2009-04-15,       5.772,
2009-05-15,       5.911,
2009-06-15,       5.976,
2009-07-15,       7.738,
2009-08-15,       6.737,
2009-09-15,       7.452,
2009-10-15,       5.247,
2009-11-15,       6.241,
2009-12-15,       6.176,
2010-01-15,       7.267,
2010-02-15,       6.742,
2010-03-15,       6.034,
2010-04-15,       5.821,
2010-05-15,       6.430,
2010-06-15,       6.708,
2010-07-15,       7.295,
2010-08-15,       7.326,
2010-09-15,       6.983,
2010-10-15,       7.430,
2010-11-15,       7.036,
2010-12-15,       8.203,
2011-01-15,       6.990,
2011-02-15,       6.781,
2011-03-15,       6.599,
2011-04-15,       6.246,
2011-05-15,       6.393,
2011-06-15,       7.116,
2011-07-15,       7.742,
2011-08-15,       7.466,
2011-09-15,       7.658,
2011-10-15,       6.699,
2011-11-15,       7.523,
2011-12-15,       7.694,
2012-01-15,       7.177,
2012-02-15,       5.900,
2012-03-15,       6.688,
2012-04-15,       6.194,
2012-05-15,       6.531,
2012-06-15,       5.937,
2012-07-15,       7.157,
2012-08-15,       6.907,
2012-09-15,       7.346,
2012-10-15,       6.230,
2012-11-15,       7.265,
2012-12-15,       7.135,
2013-01-15,       7.233,
2013-02-15,       6.500,
2013-03-15,       5.859,
2013-04-15,       6.059,
2013-05-15,       6.079,
2013-06-15,       6.727,
2013-07-15,       7.048,
2013-08-15,       6.725,
2013-09-15,       6.936,
2013-10-15,       6.345,
2013-11-15,       6.571,
2013-12-15,       7.325,
2014-01-15,       7.058,
2014-02-15,       6.600,
2014-03-15,       6.219,
2014-04-15,       5.951,
2014-05-15,       5.927,
2014-06-15,       6.986,
2014-07-15,       7.015,
2014-08-15,       6.691,
2014-09-15,       7.080,
2014-10-15,       6.527,
2014-11-15,       5.931,
2014-12-15,       7.040,
2015-01-15,       6.531,
2015-02-15,       6.502,
2015-03-15,       6.181,
2015-04-15,       5.150,
2015-05-15,       5.503,
2015-06-15,       6.431,
2015-07-15,       5.851,
2015-08-15,       6.236,
2015-09-15,       6.184,
2015-10-15,       5.487,
2015-11-15,       5.379,
2015-12-15,       6.042,
2016-01-15,       6.233,
2016-02-15,       6.537,
2016-03-15,       5.831,
2016-04-15,       5.197,
2016-05-15,       5.486,
2016-06-15,       5.884,
2016-07-15,       6.375,
2016-08-15,       6.846,
2016-09-15,       6.794,
2016-10-15,       6.404,
2016-11-15,       5.880,
2016-12-15,       6.760,
2017-01-15,       6.779,
2017-02-15,       5.856,
2017-03-15,       6.223,
2017-04-15,       5.306,
2017-05-15,       5.768,
2017-06-15,       6.083,
2017-07-15,       7.286,
2017-08-15,       7.024,
2017-09-15,       6.973,
2017-10-15,       6.503,
2017-11-15,       7.213,
2017-12-15,       6.888,
2018-01-15,       7.444,
2018-02-15,       6.674,
2018-03-15,       6.592,
2018-04-15,       6.337,
2018-05-15,       6.306,
2018-06-15,       6.226,
2018-07-15,       7.377,
2018-08-15,       6.916,
2018-09-15,       6.629,
2018-10-15,       6.307,
2018-11-15,       6.620,
2018-12-15,       7.372,
2019-01-15,       6.996,
2019-02-15,       6.135,
2019-03-15,       5.815,
2019-04-15,       6.116,
2019-05-15,       5.485,
2019-06-15,       7.085,
2019-07-15,       6.471,
2019-08-15,       7.519,
2019-09-15,       6.032,
2019-10-15,       6.337,
2019-11-15,       6.404,
2019-12-15,       6.660,
2020-01-15,       7.173,
2020-02-15,       6.761,
2020-03-15,       6.000,
2020-04-15,       5.783,
2020-05-15,       6.259,
2020-06-15,       6.105,
2020-07-15,       7.104,
2020-08-15,       6.937,
2020-09-15,       7.319,
2020-10-15,       7.538,
2020-11-15,       6.696,
2020-12-15,       7.194,
2021-01-15,       6.737,
2021-02-15,       6.530,
2021-03-15,       5.866,
2021-04-15,       6.160,
2021-05-15,       6.885,
2021-06-15,       6.030,
2021-07-15,       7.731,
2021-08-15,       6.642,
2021-09-15,       7.697,
2021-10-15,       6.827,
2021-11-15,       7.063,
2021-12-15,       7.281,
2022-01-15,       7.066,
2022-02-15,       7.336,
2022-03-15,       6.376,
2022-04-15,       6.388,
2022-05-15,       6.611,
2022-06-15,       6.948,
2022-07-15,       7.703,
2022-08-15,       7.313,
2022-09-15,       7.341,
2022-10-15,       7.444,
2022-11-15,       6.572,
2022-12-15,       7.384,
